Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,CVLTO,4820,21130,21130,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21130.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4821,21170,21170,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21170.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4822,21125,21125,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21125.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4823,21165,21165,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21165.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4824,21185,21185,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21185.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4825,21166,21166,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21166.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4826,21105,21105,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/CVLTO/21105.jpg,3543,4278,0.64
Cristiana Masi,CVLTO,4827,21181,21181,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21181.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4828,21115,21115,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight,/local-textures/CVLTO/21115.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4829,21155,21155,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21155.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4830,21107,21107,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21107.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4831,21106,21106,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21106.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4832,21162,21162,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21162.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4833,21111,21111,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight,/local-textures/CVLTO/21111.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4834,21182,21182,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21182.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4835,21126,21126,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21126.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4836,21116,21116,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight,/local-textures/CVLTO/21116.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4837,21151,21151,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21151.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4838,21117,21117,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight,/local-textures/CVLTO/21117.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4839,21100,21100,64 offset,0.53,10.05,64,offset,64,offset,/local-textures/CVLTO/21100.jpg,3543,4278,0.64
Cristiana Masi,CVLTO,4840,21156,21156,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21156.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4841,21113,21113,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight,/local-textures/CVLTO/21113.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4842,21157,21157,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21157.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4843,21163,21163,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21163.jpg,3543,3543,0.53
