Collection_Name,Manufacturer_Collection_Name,S.No.,Item No.,Article,DESCRIPTION,Rolls,Rate,Amount,WEIGHT GRS/SMT,EAN CODE,GROSS WEIGHT KG/RX,NET WEIGHT KG./RX,BOX WEIGHT KG,DESIGN REPEAT cm,WIDTH m,LENGHT m,QUANTITY PER BOX,VOL/BOX mc,BOX TOT.WEIGHT kg,RESISTANCE TO LIGHT,WASHABILITY,REACTION TO FIRE,CERTIFICATIONS,EMISSIONS DANS L'AIR INTERIEUR,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Aura,Aura,47037.0,42247.0,42247,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422476.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47019.0,42249.0,42249,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422490.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47023.0,42260.0,42260,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422605.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47002.0,42261.0,42261,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422612.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47002.0,42261.0,42261,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422612.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47004.0,42262.0,42262,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422629.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47004.0,42262.0,42262,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422629.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47004.0,42262.0,42262,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422629.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47005.0,42263.0,42263,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422636.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47005.0,42263.0,42263,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422636.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47014.0,42264.0,42264,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422643.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47035.0,42265.0,42265,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422650.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47031.0,42266.0,42266,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422667.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
