Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,Botany House,44107,15519,15519,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15519.jpg,992,992,0.53
Cristiana Masi,Botany House,44130,15521,15521,60 straight,0.53,10.05,60,Straight,,,/local-textures/Botany House/15521.jpg,992,1123,0.6
Cristiana Masi,Botany House,44116,15523,15523,60 straight,0.53,10.05,60,Straight,,,/local-textures/Botany House/15523.jpg,992,1123,0.6
Cristiana Masi,Botany House,44128,15524,15524,60 straight,0.53,10.05,60,Straight,,,/local-textures/Botany House/15524.jpg,992,1123,0.6
Cristiana Masi,Botany House,44146,15525,15525,60 straight,0.53,10.05,60,Straight,,,/local-textures/Botany House/15525.jpg,992,1123,0.6
Cristiana Masi,Botany House,44135,15527,15527,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15527.jpg,992,992,0.53
Cristiana Masi,Botany House,44126,15528,15528,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15528.jpg,992,992,0.53
Cristiana Masi,Botany House,44139,15529,15529,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15529.jpg,992,992,0.53
Cristiana Masi,Botany House,44133,15531,15531,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15531.jpg,992,992,0.53
Cristiana Masi,Botany House,44114,15534,15534,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15534.jpg,992,992,0.53
Cristiana Masi,Botany House,44103,15535,15535,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15535.jpg,992,992,0.53
Cristiana Masi,Botany House,44147,15536,15536,53 offset,0.53,10.05,53,Offset,,,/local-textures/Botany House/15536.jpg,992,992,0.53
Cristiana Masi,Botany House,44137,15537,15537,53 offset,0.53,10.05,53,Offset,,,/local-textures/Botany House/15537.jpg,992,992,0.53
Cristiana Masi,Botany House,44110,15538,15538,53 offset,0.53,10.05,53,Offset,,,/local-textures/Botany House/15538.jpg,992,992,0.53
Cristiana Masi,Botany House,44109,15539,15539,53 offset,0.53,10.05,53,Offset,,,/local-textures/Botany House/15539.jpg,992,992,0.53
Cristiana Masi,Botany House,44154,15547,15547,64 offset,0.53,10.05,64,Offset,,,/local-textures/Botany House/15547.jpg,992,1198,0.64
Cristiana Masi,Botany House,44124,15548,15548,64 offset,0.53,10.05,64,Offset,,,/local-textures/Botany House/15548.jpg,992,1198,0.64
Cristiana Masi,Botany House,44123,15549,15549,64 offset,0.53,10.05,64,Offset,,,/local-textures/Botany House/15549.jpg,992,1198,0.64
Cristiana Masi,Botany House,44134,15551,15551,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15551.jpg,992,992,0.53
Cristiana Masi,Botany House,44108,15552,15552,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15552.jpg,992,992,0.53
Cristiana Masi,Botany House,44112,15553,15553,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15553.jpg,992,992,0.53
Cristiana Masi,Botany House,44136,15555,15555,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15555.jpg,992,992,0.53
Cristiana Masi,Botany House,44132,15556,15556,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15556.jpg,992,992,0.53
Cristiana Masi,Botany House,44131,15557,15557,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15557.jpg,992,992,0.53
Cristiana Masi,Botany House,44115,15559,15559,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15559.jpg,992,992,0.53
Cristiana Masi,Botany House,44145,15565,15565,32 straight,0.53,10.05,32,Straight,,,/local-textures/Botany House/15565.jpg,992,1198,0.64
Cristiana Masi,Botany House,44105,15566,15566,32 straight,0.53,10.05,32,Straight,,,/local-textures/Botany House/15566.jpg,992,1198,0.64
Cristiana Masi,Botany House,44121,15567,15567,32 straight,0.53,10.05,32,Straight,,,/local-textures/Botany House/15567.jpg,992,1198,0.64
Cristiana Masi,Botany House,44127,15568,15568,32 straight,0.53,10.05,32,Straight,,,/local-textures/Botany House/15568.jpg,992,1198,0.64
Cristiana Masi,Botany House,44138,15569,15569,32 straight,0.53,10.05,32,Straight,,,/local-textures/Botany House/15569.jpg,992,1198,0.64
Cristiana Masi,Botany House,44129,15571,15571,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15571.jpg,992,992,0.53
Cristiana Masi,Botany House,44143,15575,15575,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15575.jpg,992,992,0.53
Cristiana Masi,Botany House,44102,15576,15576,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15576.jpg,992,992,0.53
Cristiana Masi,Botany House,44155,15577,15577,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15577.jpg,992,992,0.53
Cristiana Masi,Botany House,44125,15578,15578,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15578.jpg,992,992,0.53
Cristiana Masi,Botany House,44149,15579,15579,"17,7 straight",0.53,10.05,17.7,Straight,,,/local-textures/Botany House/15579.jpg,992,992,0.53
Cristiana Masi,Botany House,44142,15580,15580,zero,0.53,10.05,0,,,,/local-textures/Botany House/15580.jpg,992,992,0.53
Cristiana Masi,Botany House,44104,15581,15581,zero,0.53,10.05,0,,,,/local-textures/Botany House/15581.jpg,992,992,0.53
Cristiana Masi,Botany House,44119,15582,15582,zero,0.53,10.05,0,,,,/local-textures/Botany House/15582.jpg,992,992,0.53
Cristiana Masi,Botany House,44119,15582,15582,zero,0.53,10.05,0,,,,/local-textures/Botany House/15582.jpg,992,992,0.53
Cristiana Masi,Botany House,44117,15583,15583,zero,0.53,10.05,0,,,,/local-textures/Botany House/15583.jpg,992,992,0.53
Cristiana Masi,Botany House,44118,15584,15584,zero,0.53,10.05,0,,,,/local-textures/Botany House/15584.jpg,992,992,0.53
Cristiana Masi,Botany House,44151,15586,15586,zero,0.53,10.05,0,,,,/local-textures/Botany House/15586.jpg,992,992,0.53
Cristiana Masi,Botany House,44153,15587,15587,zero,0.53,10.05,0,,,,/local-textures/Botany House/15587.jpg,992,992,0.53
Cristiana Masi,Botany House,44152,15588,15588,zero,0.53,10.05,0,,,,/local-textures/Botany House/15588.jpg,992,992,0.53
Cristiana Masi,Botany House,44140,15589,15589,zero,0.53,10.05,0,,,,/local-textures/Botany House/15589.jpg,992,992,0.53
Cristiana Masi,Botany House,44148,15595,15595,zero,0.53,10.05,0,,,,/local-textures/Botany House/15595.jpg,992,992,0.53
Cristiana Masi,Tradizioni,41315,33301,33301,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33301.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41341,33302,33302,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33302.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41328,33303,33303,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33303.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41301,33305,33305,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33305.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41319,33306,33306,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33306.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41345,33307,33307,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33307.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41332,33308,33308,53 offset,0.53,10.05,53,Offset,,,/local-textures/Tradizioni/33308.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41335,33310,33310,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33310.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41318,33311,33311,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33311.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41342,33312,33312,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33312.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41308,33314,33314,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33314.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41306,33315,33315,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33315.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41329,33316,33316,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33316.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41303,33317,33317,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33317.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41336,33319,33319,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33319.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41347,33330,33330,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33330.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41349,33332,33332,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33332.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41346,33333,33333,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33333.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41331,33334,33334,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33334.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41322,33336,33336,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33336.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41313,33337,33337,28 straight,0.53,10.05,28,Straight,,,/local-textures/Tradizioni/33337.jpg,1565,1884,0.64
Cristiana Masi,Tradizioni,41324,33351,33351,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33351.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41305,33355,33355,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33355.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41326,33356,33356,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33356.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41302,33357,33357,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33357.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41333,33358,33358,53 straight,0.53,10.05,53,Straight,,,/local-textures/Tradizioni/33358.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41309,33363,33363,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33363.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41310,33364,33364,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33364.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41337,33365,33365,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33365.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41314,33366,33366,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33366.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41311,33367,33367,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33367.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41330,33369,33369,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33369.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41321,33371,33371,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33371.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41339,33372,33372,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33372.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41317,33373,33373,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33373.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41325,33374,33374,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33374.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41340,33375,33375,zero,0.53,10.05,0,,,,/local-textures/Tradizioni/33375.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41348,33380,33380,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33380.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41323,33381,33381,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33381.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41344,33382,33382,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33382.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41316,33383,33383,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33383.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41334,33384,33384,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33384.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41320,33386,33386,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33386.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41343,33387,33387,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33387.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41338,33392,33392,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33392.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41312,33393,33393,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33393.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41304,33394,33394,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33394.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41307,33395,33395,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33395.jpg,1565,1565,0.53
Cristiana Masi,Tradizioni,41327,33396,33396,zero/53 straight,0.53,10.05,0,,53,Straight,/local-textures/Tradizioni/33396.jpg,1565,1565,0.53
Cristiana Masi,Thai,41235,26400,26400,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26400.jpg,1502,1502,0.53
Cristiana Masi,Thai,41240,26401,26401,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26401.jpg,1502,1502,0.53
Cristiana Masi,Thai,41208,26403,26403,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26403.jpg,1502,1502,0.53
Cristiana Masi,Thai,41241,26405,26405,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26405.jpg,1502,1502,0.53
Cristiana Masi,Thai,41246,26407,26407,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26407.jpg,1502,1502,0.53
Cristiana Masi,Thai,41201,26408,26408,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26408.jpg,1502,1502,0.53
Cristiana Masi,Thai,41226,26409,26409,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26409.jpg,1502,1502,0.53
Cristiana Masi,Thai,41232,26410,26410,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26410.jpg,1502,1502,0.53
Cristiana Masi,Thai,41207,26413,26413,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26413.jpg,1502,1502,0.53
Cristiana Masi,Thai,41244,26415,26415,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26415.jpg,1502,1502,0.53
Cristiana Masi,Thai,41220,26416,26416,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26416.jpg,1502,1502,0.53
Cristiana Masi,Thai,41213,26417,26417,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26417.jpg,1502,1502,0.53
Cristiana Masi,Thai,41239,26419,26419,53 offset,0.53,10.05,53,Offset,,,/local-textures/Thai/26419.jpg,1502,1502,0.53
Cristiana Masi,Thai,41237,26421,26421,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26421.jpg,1502,1502,0.53
Cristiana Masi,Thai,41243,26425,26425,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26425.jpg,1502,1502,0.53
Cristiana Masi,Thai,41218,26426,26426,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26426.jpg,1502,1502,0.53
Cristiana Masi,Thai,41225,26427,26427,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26427.jpg,1502,1502,0.53
Cristiana Masi,Thai,41230,26433,26433,64 offset,0.53,10.05,64,Offset,,,/local-textures/Thai/26433.jpg,1502,1814,0.64
Cristiana Masi,Thai,41217,26436,26436,64 offset,0.53,10.05,64,Offset,,,/local-textures/Thai/26436.jpg,1502,1814,0.64
Cristiana Masi,Thai,41223,26437,26437,64 offset,0.53,10.05,64,Offset,,,/local-textures/Thai/26437.jpg,1502,1814,0.64
Cristiana Masi,Thai,41202,26438,26438,64 offset,0.53,10.05,64,Offset,,,/local-textures/Thai/26438.jpg,1502,1814,0.64
Cristiana Masi,Thai,41212,26453,26453,zero,0.53,10.05,0,,,,/local-textures/Thai/26453.jpg,1502,1502,0.53
Cristiana Masi,Thai,41214,26456,26456,zero,0.53,10.05,0,,,,/local-textures/Thai/26456.jpg,1502,1502,0.53
Cristiana Masi,Thai,41236,26459,26459,zero,0.53,10.05,0,,,,/local-textures/Thai/26459.jpg,1502,1502,0.53
Cristiana Masi,Thai,41219,26461,26461,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26461.jpg,1502,1502,0.53
Cristiana Masi,Thai,41211,26463,26463,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26463.jpg,1502,1502,0.53
Cristiana Masi,Thai,41227,26464,26464,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26464.jpg,1502,1502,0.53
Cristiana Masi,Thai,41206,26465,26465,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26465.jpg,1502,1502,0.53
Cristiana Masi,Thai,41222,26466,26466,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26466.jpg,1502,1502,0.53
Cristiana Masi,Thai,41245,26467,26467,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26467.jpg,1502,1502,0.53
Cristiana Masi,Thai,41204,26468,26468,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26468.jpg,1502,1502,0.53
Cristiana Masi,Thai,41216,26469,26469,53 straight,0.53,10.05,53,Straight,,,/local-textures/Thai/26469.jpg,1502,1502,0.53
Cristiana Masi,Thai,41231,26471,26471,zero,0.53,10.05,0,,,,/local-textures/Thai/26471.jpg,1502,1502,0.53
Cristiana Masi,Thai,41215,26472,26472,zero,0.53,10.05,0,,,,/local-textures/Thai/26472.jpg,1502,1502,0.53
Cristiana Masi,Thai,41205,26473,26473,zero,0.53,10.05,0,,,,/local-textures/Thai/26473.jpg,1502,1502,0.53
Cristiana Masi,Thai,41242,26475,26475,zero,0.53,10.05,0,,,,/local-textures/Thai/26475.jpg,1502,1502,0.53
Cristiana Masi,Thai,41221,26476,26476,zero,0.53,10.05,0,,,,/local-textures/Thai/26476.jpg,1502,1502,0.53
Cristiana Masi,Thai,41234,26478,26478,zero,0.53,10.05,0,,,,/local-textures/Thai/26478.jpg,1502,1502,0.53
